epochs,QLearning_random_win_pct,QLearning_random_time,QLearning_QLearning_win_pct,QLearning_QLearning_time,QLearning_ab-weighted-diff_win_pct,QLearning_ab-weighted-diff_time,ab-weighted-diff_random_win_pct,ab-weighted-diff_random_time,ab-weighted-diff_QLearning_win_pct,ab-weighted-diff_QLearning_time,ab-weighted-diff_ab-weighted-diff_win_pct,ab-weighted-diff_ab-weighted-diff_time
1,100.0,0.02737903594970703,0.0,0.04462599754333496,0.0,6.351686000823975,100.0,3.3987388610839844,100.0,5.134845972061157,0.0,8.10085391998291
2,100.0,0.029299020767211914,0.0,0.0420989990234375,0.0,3.0973100662231445,100.0,3.590708017349243,100.0,4.516337871551514,0.0,8.119127988815308
3,66.66666666666666,0.025285959243774414,0.0,0.044344186782836914,0.0,7.053155899047852,66.66666666666666,5.6880388259887695,100.0,2.9528441429138184,0.0,8.14532208442688
4,75.0,0.027551889419555664,25.0,0.050566911697387695,0.0,2.9481120109558105,75.0,3.770775079727173,100.0,0.18753290176391602,0.0,8.103056907653809
5,80.0,0.02549600601196289,20.0,0.04547524452209473,0.0,4.073375940322876,80.0,4.162567853927612,100.0,3.0044260025024414,0.0,8.170838117599487
6,83.33333333333334,0.025890111923217773,16.666666666666664,0.0464630126953125,0.0,7.262851238250732,83.33333333333334,5.335185766220093,83.33333333333334,2.554342031478882,0.0,8.171998977661133
7,71.42857142857143,0.024339914321899414,14.285714285714285,0.046979665756225586,0.0,5.493063926696777,85.71428571428571,2.185725212097168,85.71428571428571,4.563396692276001,0.0,8.117347002029419
8,62.5,0.030084848403930664,12.5,0.0515599250793457,0.0,4.885745048522949,87.5,3.612741708755493,87.5,4.2424540519714355,0.0,8.1389000415802
9,66.66666666666666,0.030948162078857422,11.11111111111111,0.04862475395202637,0.0,4.47934627532959,77.77777777777779,4.3805930614471436,88.88888888888889,4.5387208461761475,0.0,8.216311931610107
10,60.0,0.030254840850830078,10.0,0.04699397087097168,0.0,4.769690752029419,80.0,4.60633397102356,90.0,4.622474908828735,0.0,8.266777038574219
11,63.63636363636363,0.029998779296875,9.090909090909092,0.04327797889709473,0.0,5.1479551792144775,81.81818181818183,3.488345146179199,90.9090909090909,5.786397933959961,0.0,8.331460952758789
12,66.66666666666666,0.02693915367126465,16.666666666666664,0.0435788631439209,0.0,3.835341691970825,83.33333333333334,3.79823637008667,91.66666666666666,3.2887752056121826,0.0,8.293596267700195
13,69.23076923076923,0.02690410614013672,23.076923076923077,0.04532670974731445,0.0,2.959977149963379,84.61538461538461,3.7103023529052734,92.3076923076923,5.2421791553497314,0.0,8.301555156707764
14,64.28571428571429,0.025763988494873047,28.57142857142857,0.04307389259338379,0.0,4.6608052253723145,85.71428571428571,4.5737152099609375,92.85714285714286,3.862797975540161,0.0,8.2416250705719
15,66.66666666666666,0.027938127517700195,33.33333333333333,0.046274662017822266,0.0,6.916574239730835,86.66666666666667,4.420989990234375,93.33333333333333,4.690791368484497,0.0,8.210800886154175
16,68.75,0.029516220092773438,31.25,0.046753883361816406,0.0,6.643144130706787,87.5,4.204738140106201,93.75,2.3760640621185303,0.0,8.326068878173828
17,70.58823529411765,0.029515981674194336,29.411764705882355,0.04322314262390137,5.88235294117647,4.847320079803467,88.23529411764706,4.107049942016602,88.23529411764706,4.861623764038086,0.0,8.280220985412598
18,72.22222222222221,0.026885986328125,33.33333333333333,0.046797752380371094,5.555555555555555,5.702980995178223,88.88888888888889,3.916048765182495,88.88888888888889,4.244629859924316,0.0,8.277933120727539
19,73.68421052631578,0.031020164489746094,36.84210526315789,0.04410219192504883,5.263157894736842,6.229912996292114,89.47368421052632,3.491741895675659,89.47368421052632,2.91827392578125,0.0,8.299629211425781
20,75.0,0.0271759033203125,35.0,0.047000885009765625,5.0,3.997178792953491,85.0,5.023748159408569,90.0,0.3480660915374756,0.0,8.289113998413086
21,76.19047619047619,0.02634596824645996,33.33333333333333,0.046655893325805664,4.761904761904762,5.009371042251587,85.71428571428571,4.207386016845703,90.47619047619048,2.983304977416992,0.0,8.211406946182251
22,72.72727272727273,0.027267932891845703,31.818181818181817,0.0468289852142334,4.545454545454546,3.39755916595459,86.36363636363636,3.727571964263916,90.9090909090909,4.205648899078369,0.0,8.259239196777344
23,73.91304347826086,0.027619123458862305,34.78260869565217,0.053659915924072266,4.3478260869565215,3.882905960083008,86.95652173913044,2.607686996459961,91.30434782608695,3.381438970565796,0.0,8.314008951187134
24,70.83333333333334,0.03149819374084473,37.5,0.04663681983947754,4.166666666666666,5.56823205947876,87.5,5.026798963546753,91.66666666666666,4.663830995559692,0.0,8.262741088867188
25,72.0,0.030776023864746094,36.0,0.04648900032043457,4.0,5.241015195846558,88.0,3.180330991744995,92.0,2.9211819171905518,0.0,8.272717952728271
26,73.07692307692307,0.02733302116394043,34.61538461538461,0.04217386245727539,3.8461538461538463,5.273252248764038,88.46153846153845,4.219743967056274,92.3076923076923,2.727144956588745,0.0,8.236896991729736
27,74.07407407407408,0.02713608741760254,37.03703703703704,0.044236183166503906,3.7037037037037033,4.3384621143341064,88.88888888888889,4.940053939819336,92.5925925925926,5.14576530456543,0.0,8.244872808456421
28,75.0,0.032742977142333984,35.714285714285715,0.04828476905822754,3.571428571428571,4.611403942108154,89.28571428571429,3.9205970764160156,92.85714285714286,6.212151050567627,0.0,8.309102058410645
29,75.86206896551724,0.028515100479125977,37.93103448275862,0.04583406448364258,6.896551724137931,5.212912082672119,89.65517241379311,4.61243200302124,93.10344827586206,3.0921030044555664,0.0,8.319119691848755
30,73.33333333333333,0.027107715606689453,36.666666666666664,0.043494224548339844,6.666666666666667,4.53227686882019,90.0,4.2867748737335205,93.33333333333333,4.779267072677612,0.0,8.309712171554565
31,74.19354838709677,0.026955842971801758,35.483870967741936,0.04282999038696289,6.451612903225806,4.767470836639404,90.32258064516128,6.380181074142456,93.54838709677419,4.4441139698028564,0.0,8.255823850631714
32,75.0,0.026524782180786133,37.5,0.04825901985168457,9.375,4.646699905395508,87.5,2.421097993850708,93.75,3.260664939880371,0.0,8.251341819763184
33,75.75757575757575,0.027561187744140625,36.36363636363637,0.04853701591491699,9.090909090909092,4.7013280391693115,87.87878787878788,1.6321861743927002,90.9090909090909,2.6362528800964355,0.0,8.309605121612549
34,76.47058823529412,0.02817988395690918,38.23529411764706,0.05285286903381348,8.823529411764707,6.106449842453003,88.23529411764706,3.6789450645446777,91.17647058823529,4.064976930618286,0.0,8.242079973220825
35,77.14285714285715,0.027470827102661133,37.142857142857146,0.04528689384460449,8.571428571428571,4.798485994338989,88.57142857142857,4.695159912109375,91.42857142857143,3.9231348037719727,0.0,8.502318143844604
36,77.77777777777779,0.03374886512756348,38.88888888888889,0.04505181312561035,8.333333333333332,3.5470998287200928,88.88888888888889,4.671857833862305,91.66666666666666,0.20569896697998047,0.0,8.619904041290283
37,75.67567567567568,0.027617931365966797,37.83783783783784,0.042195796966552734,8.108108108108109,5.330325126647949,89.1891891891892,3.791651964187622,91.8918918918919,4.185142993927002,0.0,8.646485090255737
